y,Continent,Sub_cont
10,EU,EU
770,EU,EU
769,EU,EU
772,EU,EU
756,EU,EU
754,EU,EU
760,EU,EU
733,EU,EU
789,EU,EU
792,EU,EU
501,NA,CA
766,EU,EU
753,EU,EU
357,NA,CA
783,EU,EU
463,NA,CA
467,NA,CA
743,EU,EU
785,EU,EU
486,NA,CA
794,EU,EU
791,EU,EU
808,EU,EU
452,NA,CA
774,EU,EU
850,EU,EU
847,EU,EU
478,NA,CA
838,EU,EU
464,NA,CA
795,EU,EU
796,EU,EU
803,EU,EU
537,NA,CA
804,EU,EU
815,EU,EU
819,EU,EU
824,EU,EU
930,EU,EU
904,EU,EU
841,NA,NA
926,NA,NA
858,EU,EU
883,EU,EU
954,EU,EU
983,EU,EU
932,NA,NA
987,EU,EU
800,EU,EU
813,EU,EU
105,NA,NA
882,NA,NA
899,NA,NA
788,NA,NA
891,NA,NA
867,NA,NA
869,NA,NA
975,NA,NA
914,NA,NA
879,NA,NA
244,NA,NA
937,NA,NA
950,NA,NA
929,NA,NA
906,NA,NA
933,NA,NA
918,NA,NA
957,NA,NA
84,NA,NA
46,NA,NA
762,NA,NA
157,NA,NA
231,NA,NA
35,NA,NA
805,NA,NA
840,NA,NA
816,NA,NA
103,NA,NA
2,NA,NA
140,NA,NA
839,NA,NA
822,NA,NA
52,NA,NA
982,NA,NA
986,NA,NA
220,NA,NA
275,NA,NA
146,NA,NA
214,NA,NA
12,NA,NA
974,NA,NA
965,NA,NA
120,NA,NA
141,NA,NA
94,NA,NA
119,NA,NA
931,NA,NA
951,NA,NA
320,NA,NA
138,NA,NA
6,NA,NA
222,NA,NA
863,NA,NA
927,NA,NA
69,NA,NA
875,NA,NA
1,NA,NA
66,NA,NA
887,NA,NA
878,NA,NA
949,NA,NA
81,NA,NA
223,NA,NA
871,NA,NA
671,NA,NA
880,NA,NA
846,NA,NA
865,NA,NA
940,NA,NA
948,NA,NA
917,NA,NA
739,NA,NA
902,NA,NA
782,NA,NA
979,NA,NA
885,NA,NA
908,NA,NA
961,NA,NA
971,NA,NA
870,NA,NA
889,NA,NA
282,NA,NA
892,NA,NA
907,NA,NA
912,NA,NA
724,OC,AS_SE
717,OC,AS_SE
50,NA,NA
55,NA,NA
74,NA,NA
76,NA,NA
281,NA,NA
708,OC,AS_SE
336,NA,NA
877,NA,NA
854,NA,NA
909,NA,NA
716,OC,AS_SE
928,NA,NA
634,SA,SA
705,SA,SA
576,SA,SA
621,SA,SA
636,SA,SA
662,SA,SA
665,SA,SA
558,SA,SA
703,SA,SA
706,SA,SA
709,SA,SA
725,SA,SA
723,SA,SA
711,SA,SA
669,SA,SA
677,SA,SA
678,SA,SA
647,SA,SA
715,SA,SA
580,SA,SA
615,SA,SA
564,SA,SA
721,SA,SA
726,SA,SA
